gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0036176,Mason Kinsey,WR,TEN,27.99,0.29800000000000004,0.468,5.0489999999999995,0.0,0.0,0.0,0.8049999999999999
00-0034775,Christian Kirk,WR,SF,29.77,3.239,5.545,38.195,0.131,0.1,0.0,7.792
00-0033908,Cooper Kupp,WR,SEA,33.19,4.128,6.273,48.565,0.29400000000000004,0.19899999999999998,0.0,10.748999999999999
00-0041199,Caullin Lacy,WR,NYJ,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036358,CeeDee Lamb,WR,DAL,27.38,6.492,9.669,85.881,0.377,2.806,0.024,17.737
00-0040184,KeAndre Lambert-Smith,WR,LAC,24.86,0.5,1.2,5.1,0.1,0.0,0.0,1.61
00-0041067,Bryce Lance,WR,NO,24.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040870,Ja'Kobi Lane,WR,BAL,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040164,Jaylin Lane,WR,WAS,24.32,1.07,2.13,15.0,0.0,0.47,0.0,3.41
00-0040259,Gage Larvadain,WR,CLE,23.64,0.54,1.08,5.46,0.0,0.23,0.0,1.11
00-0041446,Kendrick Law,WR,DET,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039342,Xavier Legette,WR,CAR,25.57,2.6825,4.768749999999999,27.54875,0.22625,0.6,0.0,6.8462499999999995
00-0040867,Makai Lemon,WR,PHI,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037238,Drake London,WR,ATL,25.09,5.461,8.828,72.03,0.473,-0.054,0.0,15.546
00-0040241,Dominic Lovett,WR,DET,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041020,Xavier Loyd,WR,KC,23.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041272,Ja'Mori Maclin,WR,BUF,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041294,Joseph Manjack,WR,DEN,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041266,Keelan Marion,WR,ATL,26.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036955,Terrace Marshall Jr.,WR,MIA,26.21,0.6559999999999999,1.1840000000000002,5.936,0.0,0.0,0.0,1.248
00-0037524,Tay Martin,WR,DET,28.7,0.8,1.1,20.45,0.3,0.0,0.0,4.645
