gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0039847,Theo Johnson,TE,NYG,25.5,2.8649999999999998,4.547499999999999,33.28375,0.24000000000000002,0.0,0.0,7.646249999999998,105
00-0041077,Justin Joly,TE,DEN,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
00-0041403,Rohan Jones,TE,LA,24.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036556,Brevin Jordan,TE,HOU,26.11,0.64,0.87,5.43,0.04000000000000001,0.0,0.0,1.423,0
00-0041524,Will Kacmarek,TE,MIA,23.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037031,Nikola Kalinic,TE,CHI,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040058,Nick Kallerup,TE,SEA,25.42,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0
00-0040901,Jaren Kanak,TE,TEN,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041246,Josh Kattus,TE,CIN,22.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0030506,Travis Kelce,TE,KC,36.89,5.293,7.282,53.582,0.268,0.048,0.0,12.269,375
00-0037311,Ko Kieft,TE,TB,28.6,0.020000000000000004,0.1,0.04000000000000001,0.020000000000000004,0.0,0.0,0.144,0
00-0038933,Dalton Kincaid,TE,BUF,26.86,3.551,4.909,42.54,0.279,0.0,0.0,9.458,576
00-0033288,George Kittle,TE,SF,32.88,4.962,6.14,63.414,0.555,-0.11100000000000002,0.0,14.611,681
00-0041510,Max Klare,TE,LA,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
00-0041472,Marlin Klein,TE,HOU,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036290,Cole Kmet,TE,CHI,27.46,2.734,3.656,28.719,0.21100000000000002,0.024,0.0,6.9830000000000005,139
00-0035689,Dawson Knox,TE,BUF,29.78,2.036,2.958,23.413,0.186,0.0,0.0,5.598,15
00-0038046,Charlie Kolar,TE,LAC,27.54,0.811,1.105,11.324,0.127,0.06,0.0,2.721,0
00-0041084,Tanner Koziol,TE,JAX,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038996,Tucker Kraft,TE,GB,25.81,3.324,4.558,48.108999999999995,0.526,0.295,0.0,11.329999999999998,1502
00-0037539,Lucas Krull,TE,DEN,28.13,1.298,2.09,11.024000000000001,0.028000000000000004,0.0,0.0,2.5730000000000004,0
00-0038406,Zack Kuntz,TE,DAL,27.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039065,Sam LaPorta,TE,DET,25.62,4.357,5.689,51.237,0.41500000000000004,0.048,0.0,12.029,1470
00-0040060,Marshall Lang,TE,MIN,24.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041170,Hayden Large,TE,CHI,24.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038564,Cameron Latu,TE,PHI,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040363,Keleki Latu,TE,BUF,24.04,1.33,1.33,11.67,0.0,0.0,0.0,2.5,0
LAU726757,Matt Lauter,TE,MIN,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037838,Isaiah Likely,TE,NYG,26.36,2.393,3.233,28.201999999999998,0.23199999999999998,0.0,0.0,6.489,644
00-0040240,Caleb Lohner,TE,DEN,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037004,Hunter Long,TE,JAX,28.02,1.047,1.461,7.705,0.145,0.0,0.0,2.839,0
00-0040126,Colston Loveland,TE,CHI,22.38,3.62,5.12,44.56,0.38,-0.12,0.0,10.32,3252
00-0038394,Will Mallory,TE,IND,27.18,0.999,1.314,13.006,0.0,0.0,0.0,2.301,0
00-0031484,Chris Manhertz,TE,NYG,34.38,0.297,0.514,2.458,0.036,0.0,0.0,0.7669999999999999,0
00-0039648,David Martin-Robinson,TE,TEN,26.67,0.31875,0.53125,2.26875,0.056249999999999994,0.0,0.0,0.8875,0
00-0040974,Lance Mason,TE,PIT,22.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040244,Moliki Matavao,TE,NO,23.44,2.0,2.0,10.0,0.0,0.0,0.0,3.0,0
00-0039066,Michael Mayer,TE,LV,25.14,2.334,3.414,21.545,0.07,0.0,0.0,4.936999999999999,95
00-0037744,Trey McBride,TE,ARI,26.76,6.739,8.975,67.632,0.397,0.036,0.018,15.998,4892
00-0036032,Sean McKeon,TE,IND,28.66,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0
00-0037011,Tre' McKitty,TE,WAS,27.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
