gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0038397,Evan Hull,RB,ARI,25.84,0.28500000000000003,0.28500000000000003,1.7000000000000002,0.0,1.785,4.2,0.0,0.875,0
00-0040692,Jarquez Hunter,RB,LA,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
00-0040618,Max Hurleman,RB,PIT,24.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039361,Bucky Irving,RB,TB,24.03,2.9099999999999997,3.335,25.96,0.1875,15.379999999999999,61.5,0.23874999999999996,14.048749999999998,2136
00-0040332,Ja'Quinden Jackson,RB,PHI,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0035700,Josh Jacobs,RB,GB,28.54,2.406,3.0540000000000003,19.990000000000002,0.053000000000000005,16.697,66.803,0.791,15.863,1786
00-0040177,Jordan James,RB,SF,22.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
00-0040122,Ashton Jeanty,RB,LV,22.74,3.24,4.29,20.35,0.29,15.65,57.35,0.29,14.42,5530
00-0036670,Jermar Jefferson,RB,MIN,26.37,0.15,0.15,1.5,0.0,0.8999999999999999,3.3,0.0,0.63,0
00-0039757,Terrell Jennings,RB,NE,25.65,0.10625000000000001,0.29374999999999996,0.9375,0.0,4.831249999999999,13.79375,0.10625000000000001,2.1999999999999997,0
00-0040039,Amar Johnson,RB,LAC,23.57,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.8,0
00-0035628,D'Ernest Johnson,RB,TEN,30.5,0.424,0.624,4.15,0.0,2.713,7.426,0.0,1.581,0
00-0041013,Emmett Johnson,RB,KC,22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320
00-0040142,Kaleb Johnson,RB,PIT,23.04,0.1,0.2,0.9,0.0,2.8,6.9,0.0,0.88,139
00-0039021,Roschon Johnson,RB,CHI,25.57,0.823,0.996,5.186,0.0,2.5140000000000002,9.571,0.164,3.287,33
00-0035537,Ty Johnson,RB,BUF,28.95,1.179,1.567,14.126000000000001,0.136,2.859,12.573,0.108,5.287,64
00-0033293,Aaron Jones,RB,MIN,31.74,2.6109999999999998,3.5869999999999997,19.726,0.094,12.582,54.845,0.20800000000000002,11.66,186
00-0041191,Cash Jones,RB,ATL,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041588,Justin Jones,RB,SEA,25.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039405,Jawhar Jordan,RB,HOU,27.03,1.09375,1.09375,5.3125,0.0,6.71875,30.15625,0.0,4.64375,0
00-0040784,Quinshon Judkins,RB,CLE,22.83,1.86,2.57,12.21,0.0,16.43,59.07,0.5,12.13,2437
00-0033906,Alvin Kamara,RB,NO,31.09,4.112,5.007,27.262,0.058,13.611999999999998,52.444,0.25,13.844000000000001,230
00-0040556,Corey Kiner,RB,ARI,24.6,0.5,0.75,3.75,0.0,3.0,14.5,0.0,2.33,0
00-0037157,Bam Knight,RB,ARI,25.38,1.0150000000000001,1.3900000000000001,7.465,0.04,3.715,12.510000000000002,0.165,4.18,0
00-0041595,Barika Kpeenu,RB,TB,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040567,Brock Lampe,RB,SEA,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040568,Lan Larison,RB,NE,24.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039407,Dylan Laube,RB,LV,26.71,0.11249999999999999,0.15,0.6625000000000001,0.0,0.31999999999999995,0.33125000000000004,0.0,0.08875000000000004,0
00-0039811,MarShawn Lloyd,RB,GB,25.64,0.37499999999999994,0.37499999999999994,1.1249999999999998,0.0,2.2499999999999996,5.624999999999999,0.0,1.0499999999999998,297
00-0041027,Jeremiyah Love,RB,ARI,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5743
00-0038738,Hunter Luepke,RB,DAL,26.5,0.783,0.9570000000000001,6.634,0.035,0.948,3.728,0.020000000000000004,2.15,0
00-0040021,Phil Mafah,RB,DAL,23.84,2.0,2.0,11.0,0.0,5.0,18.0,1.0,10.9,81
00-0040583,Woody Marks,RB,HOU,25.66,1.5,2.25,13.0,0.19,12.25,43.94,0.12,9.07,373
00-0040260,Ahmani Marshall,RB,CLE,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040651,Damien Martinez,RB,GB,22.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
00-0037525,Jordan Mason,RB,MIN,27.26,0.754,0.901,4.257,0.0,9.295,45.991,0.303,7.462,473
00-0033280,Christian McCaffrey,RB,SF,30.22,4.963,6.258,45.175,0.293,16.295,68.743,0.471,20.732,3584
00-0037509,Sincere McCormick,RB,SF,25.96,0.44999999999999996,0.525,2.175,0.0,2.925,13.725,0.0,2.04,0
00-0041125,Seth McGowan,RB,IND,24.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147
00-0038794,Jaleel McLaughlin,RB,DEN,25.96,1.064,1.306,4.997,0.06,5.322,25.814,0.09,5.037,35
00-0040984,Dontae McMillan,RB,BAL,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0033955,Jeremy McNichols,RB,WAS,30.67,0.96,1.21,6.665,0.0,2.476,12.125,0.111,3.545,0
00-0039230,Dante Miller,RB,NYG,27.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041129,Jam Miller,RB,NE,22.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0038551,Kendre Miller,RB,NO,24.21,0.8899999999999999,1.068,7.1370000000000005,0.0,6.477,25.644,0.14900000000000002,5.073,58
00-0039266,Kendall Milton,RB,CIN,24.55,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.125,0
00-0038678,Jordan Mims,RB,PHI,27.2,0.44999999999999996,0.8749999999999999,2.664,0.0,0.75,2.625,0.0,0.9779999999999999,0
00-0038454,Keaton Mitchell,RB,LAC,24.61,0.6779999999999999,0.8490000000000001,7.183,0.0,4.737,26.679000000000002,0.098,4.638,266
00-0040236,Kyle Monangai,RB,CHI,24.23,1.06,1.76,9.65,0.0,9.94,46.06,0.29,8.63,582
00-0035685,David Montgomery,RB,HOU,29.22,1.7039999999999997,2.01,14.625,0.0,11.736,52.168,0.679,12.622,1118
00-0041323,Myles Montgomery,RB,NE,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040205,Kalel Mullings,RB,TEN,23.9,0.0,0.0,0.0,0.0,0.75,1.75,0.0,0.18,36
00-0040202,Devin Neal,RB,NO,23.04,1.89,2.11,11.56,0.0,6.33,22.89,0.22,6.67,100
00-0038409,Lew Nichols III,RB,PIT,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040946,Jaden Nixon,RB,GB,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036842,Kene Nwangwu,RB,NYJ,28.55,0.0,0.05,0.0,0.0,0.774,2.774,0.0,1.4769999999999999,0
